pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
TOI-4602.01,TOI-4602,1,1,Transit,2024.0,3.9812091,0.010897622,0.05099712,,2.550449,,0.0,6011.9,1.15664,1.116795,63.0637,1380.541623,1.567953782,602.8953801
TOI-4603 b,TOI-4603,1,1,Transit,2023.0,7.24599,0.019918063,0.0888,0.325,11.67975789,4096.808166,14.16758106,6264.0,2.738,1.765,225.643,1677.156025,10.355325,1313.220949
TOI-4633 c,TOI-4633,2,1,Transit,2024.0,271.9445,0.743239484,0.847,0.117,3.2,123.0,20.68267822,5800.0,1.05,1.1,95.2016,311.3812205,1.119387421,1.560319736
TOI-4638.01,TOI-4638,1,1,Transit,2024.0,10.28391879,0.028087649,0.093013,,2.933,,0.0,5700.0,0.895,1.02,168.248,852.5621066,0.758639311,87.6895899
TOI-4641 b,TOI-4641,1,1,Transit,2023.0,22.09341,0.060598182,0.173,0.074,8.18255591,1229.995935,12.37053068,6560.0,1.72,1.41,86.3501,997.370434,4.915436627,164.2365808
TOI-4666 b,TOI-4666,1,1,Transit,2025.0,2.9089168,0.007979071,0.0333,0.0,12.44196858,222.4798849,0.636465766,3512.0,0.59,0.58,154.749,712.8035844,0.04751294,42.84729752
TOI-469.01,TOI-469,1,3,Transit,2021.0,13.6308205,0.03896028,0.111,,3.41,9.1,1.264532088,5289.0,0.98,0.901,68.192,757.7685805,0.674273776,54.72557229
TOI-470 b,TOI-470,1,1,Transit,2023.0,12.19148,0.044010957,0.119,,4.34,,0.0,5190.0,0.831,0.87,130.46,661.3111843,0.449532742,31.7444207
TOI-4734 b,TOI-4734,1,1,Transit,2025.0,6.235633,0.017068054,0.074,0.12,10.9175472,61.65871096,0.261078318,6070.0,1.857,1.391,563.068,1466.190029,4.200185021,767.016987
TOI-4773 b,TOI-4773,1,1,Transit,2025.0,1.7452851,0.004786199,0.03216,0.024,15.22179579,1687.668841,2.636581237,6740.0,1.55,1.452,492.888,2256.208361,4.448287334,4300.913938
TOI-4791 b,TOI-4791,1,1,Transit,2023.0,4.28088,0.011732179,0.0555,0.0,12.44196858,734.1836202,2.100337029,6058.0,1.409,1.242,328.802,1471.803233,2.398992621,778.8304914
TOI-4794 b,TOI-4794,1,1,Transit,2025.0,3.5658116,0.009760963,0.0492,0.1,14.35870428,308.2935548,0.573812878,6390.0,1.451,1.25,543.008,1673.260241,3.149402062,1301.061728
TOI-480 b,TOI-480,1,1,Transit,2024.0,6.866196,0.01889078,0.077,0.0,2.85372018,20.8,4.931519727,6174.0,1.4877,1.2793,54.5306,1308.550304,2.885274095,486.6375604
TOI-481 b,TOI-481,1,1,Transit,2020.0,10.33111,0.028294705,0.097,0.153,11.09691,486.2799,1.960792903,5735.0,1.66,1.14,179.366,1143.965897,2.67448222,284.2472335
TOI-4860 b,TOI-4860,1,1,Transit,2023.0,1.5227591,0.004169252,0.01808,0.008,8.7,86.7,0.72545911,3260.0,0.358,0.34,80.1423,699.4736825,0.012987522,39.7309959
TOI-4914 b,TOI-4914,1,1,Transit,2024.0,10.60057,0.030228772,0.098,0.408,12.87,227.0,0.586734756,5805.0,1.0,1.03,299.89,894.1299963,1.018823013,106.0831959
TOI-4940 b,TOI-4940,1,1,Transit,2025.0,25.867811,0.06662476,0.165,,6.61,89.0,1.697998206,5504.0,1.163,1.012,345.659,704.5921318,1.113686564,40.90676086
TOI-4961 b,TOI-4961,1,1,Transit,2025.0,7.479182,0.020483658,0.0726,0.182,12.34108775,572.0911326,1.677090482,5380.0,0.912,0.912,213.073,919.4388767,0.625185115,118.613846
TOI-4994 b,TOI-4994,1,1,Transit,2024.0,21.491984,0.058821476,0.1515,0.319,8.54124329,88.99195396,0.786935366,5640.0,1.055,1.005,329.304,717.6463759,1.010441524,44.02363707
TOI-500 b,TOI-500,1,4,Transit,2022.0,0.548177,0.001507152,0.01189,0.063,1.166,1.42,4.935649282,4440.0,0.678,0.74,47.3924,1616.658792,0.160280659,1133.750284
TOI-500 c,TOI-500,1,4,Radial Velocity,2022.0,6.6356,0.0,,0.072,,5.03,,4440.0,0.678,0.74,47.3924,,0.160280659,
TOI-500 d,TOI-500,1,4,Radial Velocity,2022.0,26.233,0.0,,0.016,,33.12,,4440.0,0.678,0.74,47.3924,,0.160280659,
TOI-500 e,TOI-500,1,4,Radial Velocity,2022.0,61.3,0.0,,0.073,,15.05,,4440.0,0.678,0.74,47.3924,,0.160280659,
