pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
K2-162 b,K2-162,1,1,Transit,2018.0,9.45889,0.025883325,0.0795,,1.44,,0.0,4842.0,0.69,0.75,124.433,687.8238722,0.234794096,37.14949501
K2-163 b,K2-163,1,1,Transit,2018.0,6.673117,0.0,,,2.46610713,,0.0,4937.0,0.762201,0.826112,208.529,,0.309657346,
K2-164 b,K2-164,1,1,Transit,2018.0,17.355066,0.0,,,3.24925008,,0.0,5791.0,2.196069,1.180894,375.67,,4.866268554,
K2-165 b,K2-165,1,3,Transit,2018.0,2.354992,0.0,,,1.27443657,,0.0,5185.0,0.803827,0.834847,134.591,,0.418996189,
K2-165 c,K2-165,1,3,Transit,2018.0,4.382745,0.0,,,1.55409035,,0.0,5185.0,0.803827,0.834847,134.591,,0.418996189,
K2-165 d,K2-165,1,3,Transit,2018.0,14.101361,0.0,,,2.64809498,,0.0,5185.0,0.803827,0.834847,134.591,,0.418996189,
K2-166 b,K2-166,1,2,Transit,2018.0,8.52695,0.023334685,0.0858,,2.19,,0.0,5960.0,1.61,1.16,476.882,1244.878689,2.934449507,398.6135571
K2-167 b,K2-167,1,1,Transit,2018.0,9.978541,0.027328087,0.0932,0.48,2.36509493,,0.0,6310.0,1.499,1.084,80.8994,1220.207523,3.196027832,367.9414605
K2-168 b,K2-168,1,2,Transit,2018.0,15.8523,0.0,,,1.86,,0.0,5502.7,0.83,0.877,243.935,,0.566694999,
K2-169 b,K2-169,1,1,Transit,2018.0,6.380803,0.0,,,1.27328671,,0.0,5548.0,0.919053,0.986144,235.867,,0.717987319,
K2-17 b,K2-17,1,1,Transit,2015.0,17.96753,0.048718204,0.119,,2.23,,0.0,4320.0,0.66,0.71,125.106,490.5617839,0.136117106,9.612111181
K2-170 b,K2-170,1,2,Transit,2018.0,7.576544,0.0,,,1.41817537,,0.0,5748.0,0.981614,0.963657,392.872,,0.943709605,
K2-170 c,K2-170,1,2,Transit,2018.0,12.400047,0.0,,,1.8017647,,0.0,5748.0,0.981614,0.963657,392.872,,0.943709605,
K2-171 b,K2-171,1,1,Transit,2018.0,5.628466,0.0,,,2.68657205,,0.0,5250.0,1.717458,0.891587,606.128,,2.010477949,
K2-172 b,K2-172,1,2,Transit,2018.0,14.316941,0.0,,,1.66608079,,0.0,5569.0,0.868889,0.934356,249.742,,0.651519352,
K2-172 c,K2-172,1,2,Transit,2018.0,29.62682,0.0,,,3.20569097,,0.0,5569.0,0.868889,0.934356,249.742,,0.651519352,
K2-173 b,K2-173,1,1,Transit,2018.0,5.868699,0.0,,,1.60826194,,0.0,5580.0,0.843154,0.881538,228.641,,0.618358671,
K2-174 b,K2-174,1,1,Transit,2018.0,19.562307,0.053457273,0.126,,2.6,,0.0,4455.0,0.676,0.7,99.9293,497.5620659,0.161500576,10.17262383
K2-175 b,K2-175,1,1,Transit,2018.0,9.525988,0.0,,,2.03803688,,0.0,5909.0,1.420038,1.094693,247.266,,2.20569644,
K2-176 b,K2-176,1,1,Transit,2018.0,5.329439,0.0,,,1.49090097,,0.0,5428.0,0.86416,0.938545,247.302,,0.581617581,
K2-177 b,K2-177,1,1,Transit,2018.0,14.155185,0.0,,,2.1162048,,0.0,6063.0,1.213565,1.210525,492.167,,1.785526122,
K2-178 b,K2-178,1,1,Transit,2018.0,8.747818,0.0,,,3.55790985,,0.0,5525.0,0.887267,0.95109,214.753,,0.658154171,
K2-179 b,K2-179,1,1,Transit,2018.0,5.172191,0.0,,,2.51267885,,0.0,5015.0,0.768067,0.824345,190.81,,0.334789487,
K2-18 b,K2-18,1,2,Transit,2015.0,32.939623,0.090157346,0.1429,0.2,2.37,8.92,3.692082656,3457.0,0.411,0.359,38.0266,282.6933906,0.021645669,1.060001682
K2-18 c,K2-18,1,2,Radial Velocity,2017.0,8.962,0.024528989,0.06,0.47,,7.51,,3457.0,0.411,0.359,38.0266,436.2707977,0.021645669,6.012685817
K2-180 b,K2-180,1,1,Transit,2018.0,8.865663,0.02424594,0.0756,0.075,2.46597575,11.41003981,4.192493076,5365.0,0.719,0.735,203.896,797.7829535,0.384261201,67.23307038
K2-181 b,K2-181,1,1,Transit,2018.0,6.8941,0.0,,,2.69,,0.0,5528.0,1.06,0.96,360.911,,0.941398968,
K2-182 b,K2-182,1,1,Transit,2018.0,4.7369696,0.012972979,0.05174,0.071,2.71257333,20.97667486,5.790869568,5128.0,0.789,0.823,154.83,965.5722692,0.386221034,144.2723393
K2-183 b,K2-183,1,3,Transit,2018.0,0.469285,0.001284832,,,1.1,,0.0,5482.0,0.87,,329.041,,0.613316262,
K2-183 c,K2-183,1,3,Transit,2018.0,10.787992,0.029535912,,,2.3,,0.0,5482.0,0.87,,329.041,,0.613316262,
K2-183 d,K2-183,1,3,Transit,2018.0,22.620344,0.061931127,,,2.3,,0.0,5482.0,0.87,,329.041,,0.613316262,
K2-184 b,K2-184,1,1,Transit,2018.0,16.9780102,0.075467544,0.1685,,1.47,,0.0,5245.0,0.75,0.84,75.5857,533.565389,0.381939299,13.45223782
K2-185 b,K2-185,1,2,Transit,2018.0,10.616384,0.0,,,1.15,,0.0,5788.0,0.94,0.96,268.357,,0.889732894,
K2-185 c,K2-185,1,2,Transit,2018.0,52.713494,0.0,,,2.39,,0.0,5788.0,0.94,0.96,268.357,,0.889732894,
K2-186 b,K2-186,1,1,Transit,2018.0,41.474219,0.0,,,3.17207779,,0.0,5784.0,0.98083,1.018617,330.739,,0.966029678,
K2-187 b,K2-187,1,4,Transit,2018.0,0.77401,0.002119124,,,1.2,,0.0,5438.0,0.83,,330.916,,0.540508898,
K2-187 c,K2-187,1,4,Transit,2018.0,2.871512,0.007861771,,,1.4,,0.0,5438.0,0.83,,330.916,,0.540508898,
K2-187 d,K2-187,1,4,Transit,2018.0,7.149584,0.019574494,,,2.4,,0.0,5438.0,0.83,,330.916,,0.540508898,
K2-187 e,K2-187,1,4,Transit,2018.0,13.606629,0.03725292,,,1.9,,0.0,5438.0,0.83,,330.916,,0.540508898,
K2-188 b,K2-188,1,2,Transit,2018.0,1.742169,0.004771927,0.0289,,1.35,,0.0,5977.0,1.19,1.06,446.821,1849.350776,1.621499414,1941.427203
K2-188 c,K2-188,1,2,Transit,2018.0,7.810253,0.021362474,0.0785,,2.83,,0.0,5977.0,1.19,1.06,446.821,1122.104714,1.621499414,263.134312
K2-189 b,K2-189,1,2,Transit,2018.0,2.58812,0.0,,,1.403,,0.0,5442.0,0.879,0.85,242.113,,0.607997439,
K2-189 c,K2-189,1,2,Transit,2018.0,6.67932,0.0,,,2.31,,0.0,5442.0,0.879,0.85,242.113,,0.607997439,
K2-19 b,K2-19,1,3,Transit,2015.0,7.9222,0.0,,0.2,7.0,32.4,0.520478134,5322.0,0.82,0.88,289.827,,0.483968433,
K2-19 c,K2-19,1,3,Transit,2015.0,11.8993,0.0,,0.21,4.1,10.8,0.86342334,5322.0,0.82,0.88,289.827,,0.483968433,
K2-19 d,K2-19,1,3,Transit,2016.0,2.5081,0.0,,,1.11,10.0,40.28864511,5322.0,0.82,0.88,289.827,,0.483968433,
K2-190 b,K2-190,1,2,Transit,2018.0,10.098858,0.0,,,1.35673729,,0.0,5631.0,0.912206,0.904597,160.679,,0.750615984,
K2-190 c,K2-190,1,2,Transit,2018.0,21.574023,0.0,,,1.09308317,,0.0,5631.0,0.912206,0.904597,160.679,,0.750615984,
K2-191 b,K2-191,1,1,Transit,2018.0,2.858646,0.0,,,1.57889322,,0.0,5176.0,0.839696,0.900994,287.188,,0.454057746,
K2-192 b,K2-192,1,1,Transit,2018.0,4.162817,0.011433333,0.049,,1.52,,0.0,5222.0,0.81,0.9,221.753,1023.747409,0.437731054,182.3119757
K2-193 b,K2-193,1,1,Transit,2018.0,14.786889,0.040538425,0.1184,,3.95,,0.0,5817.0,0.98,1.01,411.923,806.9520497,0.986593515,70.37766469
K2-194 b,K2-194,1,1,Transit,2018.0,39.721386,0.0,,,3.64229858,,0.0,5979.0,1.281115,1.110086,629.51,,1.881829603,
K2-195 b,K2-195,1,2,Transit,2018.0,15.852975,0.043304844,0.1208,,3.13,,0.0,5713.0,0.99,0.94,315.014,788.6055566,0.936735837,64.1923488
K2-195 c,K2-195,1,2,Transit,2018.0,28.482786,0.0,,,2.57581891,,0.0,5712.0,0.906367,0.963364,315.014,,0.784604536,
K2-196 b,K2-196,1,1,Transit,2018.0,48.324222,0.0,,,3.59970536,,0.0,6045.0,1.538801,1.162095,584.877,,2.836873631,
K2-197 b,K2-197,1,1,Transit,2018.0,8.357881,0.022882452,0.0806,,2.56,,0.0,5667.0,0.93,1.0,247.637,928.1937604,0.800329081,123.1965409
K2-198 b,K2-198,1,3,Transit,2018.0,17.0428683,0.0,,,4.189,,0.0,5212.9,0.757,0.799,110.567,,0.379663795,
K2-198 c,K2-198,1,3,Transit,2019.0,3.3596055,0.0,,,1.423,,0.0,5212.9,0.757,0.799,110.567,,0.379663795,
K2-198 d,K2-198,1,3,Transit,2019.0,7.4500177,0.0,,,2.438,,0.0,5212.9,0.757,0.799,110.567,,0.379663795,
K2-199 b,K2-199,1,2,Transit,2018.0,3.2253993,0.008854423,0.0382,0.02,1.73,6.9,7.342811513,4491.0,0.682,0.711,107.518,914.987244,0.169758223,116.3333123
K2-199 c,K2-199,1,2,Transit,2018.0,7.3744897,0.020200038,0.0662,0.03,2.85,12.4,2.951472248,4491.0,0.682,0.711,107.518,695.0526865,0.169758223,38.73600611
K2-200 b,K2-200,1,1,Transit,2018.0,2.849883,0.0,,,1.3643987,,0.0,5233.0,0.791736,0.860208,184.131,,0.421748527,
K2-201 b,K2-201,1,2,Transit,2018.0,1.05979,0.0,,,1.40006712,,0.0,5507.0,0.878161,0.956055,197.932,,0.636353515,
K2-201 c,K2-201,1,2,Transit,2018.0,22.779878,0.0,,,3.28568401,,0.0,5507.0,0.878161,0.956055,197.932,,0.636353515,
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,1,1,Microlensing,2023.0,4700.0,11.10282699,4.16,,,349.6112477,,,,0.584,5200.0,0.0,0.0,0.0
K2-202 b,K2-202,1,1,Transit,2018.0,3.405164,0.0,,,2.30165603,,0.0,5491.0,0.910685,0.971461,300.397,,0.676444222,
K2-203 b,K2-203,1,1,Transit,2018.0,9.6952,0.026561599,0.0824,0.23,1.26549392,,0.0,5026.0,0.765,0.793,166.147,738.4159595,0.335044627,49.34557727
K2-204 b,K2-204,1,1,Transit,2018.0,7.055908,0.019327621,0.0738,0.28,3.17214154,,0.0,5783.0,1.253,1.076,577.235,1148.978826,1.575450496,289.2624348
K2-205 b,K2-205,1,1,Transit,2018.0,26.672263,0.0,,,1.99552771,,0.0,5890.0,1.077574,0.951027,405.301,,1.253848998,
K2-206 b,K2-206,1,1,Transit,2018.0,18.294549,0.0,,,2.79522879,,0.0,5043.0,0.758046,0.789481,244.443,,0.3334547,
K2-207 b,K2-207,1,1,Transit,2018.0,12.48749,0.0,,,2.60585269,,0.0,5522.0,0.928158,0.941851,363.064,,0.718653068,
K2-208 b,K2-208,1,1,Transit,2018.0,4.19097,0.011478225,0.04878,0.37,1.67462172,,0.0,5500.0,0.872,0.881,256.887,1121.273382,0.6242716,262.3553869
K2-209 b,K2-209,1,1,Transit,2018.0,2.080615,0.0,,,0.86850263,,0.0,4720.0,0.712365,0.74479,76.4986,,0.225976351,
K2-21 b,K2-21,1,2,Transit,2015.0,9.325038,0.02548236,0.076,0.1,1.84,,0.0,4222.06,0.646783,0.676023,83.6448,593.8932394,0.119262702,20.6479748
K2-21 c,K2-21,1,2,Transit,2015.0,15.50192,0.042569145,0.107,0.21,2.49,,0.0,4222.06,0.646783,0.676023,83.6448,500.5221354,0.119262702,10.41686631
K2-210 b,K2-210,1,1,Transit,2018.0,0.57023,0.001561205,,,0.86,,0.0,5500.0,0.89,,176.51,,0.650310283,
K2-211 b,K2-211,1,1,Transit,2018.0,0.669561,0.001832352,0.01419,0.19,1.33162691,,0.0,5117.0,0.818,0.851,272.297,1873.321639,0.41158366,2044.058563
K2-212 b,K2-212,1,1,Transit,2018.0,9.795647,0.0,,,2.65,,0.0,4349.0,0.678,0.622,109.218,,0.147539011,
K2-213 b,K2-213,1,1,Transit,2018.0,8.13087,0.0,,,1.51398464,,0.0,5794.0,1.20424,1.069596,389.702,,1.466323891,
K2-214 b,K2-214,1,1,Transit,2018.0,8.59656,0.0,,,2.51,,0.0,5875.0,1.236,1.03,300.64,,1.63289506,
K2-215 b,K2-215,1,1,Transit,2018.0,8.269648,0.0,,,2.12381238,,0.0,5704.0,0.974398,0.999987,403.964,,0.901738651,
K2-216 b,K2-216,1,1,Transit,2018.0,2.1748,0.0056,0.028,0.0,1.75,8.0,8.22483965,4503.0,0.72,0.7,115.461,1101.033817,0.191232909,243.9195263
K2-217 b,K2-217,1,1,Transit,2018.0,14.074524,0.0,,,3.57854073,,0.0,5967.0,1.333718,1.102661,381.878,,2.023214954,
K2-218 b,K2-218,1,1,Transit,2018.0,8.679885,0.0,,,2.56948149,,0.0,5757.0,1.008231,1.047488,394.083,,1.001831911,
K2-219 b,K2-219,1,3,Transit,2018.0,3.901287,0.0,,,1.34762583,,0.0,5753.0,1.189232,1.021545,325.4,,1.389954294,
K2-219 c,K2-219,1,3,Transit,2018.0,6.66767,0.0,,,1.43839723,,0.0,5753.0,1.189232,1.021545,325.4,,1.389954294,
K2-219 d,K2-219,1,3,Transit,2018.0,11.137278,0.0,,,2.57634456,,0.0,5753.0,1.189232,1.021545,325.4,,1.389954294,
K2-22 b,K2-22,2,1,Transit,2015.0,0.381073,0.001043321,,,2.3,,0.0,3879.0,0.58,,243.836,,0.06833213,
K2-220 b,K2-220,1,1,Transit,2018.0,13.68186,0.0,,,2.37,,0.0,5612.0,1.026,0.91,233.514,,0.936817988,
K2-221 b,K2-221,1,1,Transit,2018.0,2.399094,0.0,,,1.67890272,,0.0,5716.0,0.947599,1.010842,318.81,,0.860018746,
K2-222 b,K2-222,1,1,Transit,2018.0,15.38857,0.042113643,0.1206,0.16,2.35,8.7,3.693748013,5942.0,1.115,0.989,101.321,871.1800186,1.390497379,95.603889
K2-223 b,K2-223,1,2,Transit,2018.0,0.50557,0.001384175,,,0.89,,0.0,5859.0,1.0,,198.604,,1.057264967,
K2-223 c,K2-223,1,2,Transit,2018.0,4.562546,0.01249157,,,1.5,,0.0,5859.0,1.0,,198.604,,1.057264967,
K2-224 b,K2-224,1,2,Transit,2018.0,4.47904,0.012287226,0.0516,,1.56,,0.0,5620.0,0.84,0.91,275.255,1093.358502,0.631529561,237.1888564
K2-224 c,K2-224,1,2,Transit,2018.0,10.09489,0.027645846,0.0886,,2.41,,0.0,5620.0,0.84,0.91,275.255,834.3928545,0.631529561,80.4500356
K2-225 b,K2-225,1,1,Transit,2018.0,15.8723,0.043445259,0.1409,0.23,3.60929179,,0.0,5520.0,1.7,1.482,357.778,924.5268331,2.407376427,121.2612435
K2-226 b,K2-226,1,1,Transit,2018.0,3.27109,0.008956616,0.04095,0.22,1.53899305,,0.0,5288.0,0.889,0.856,211.265,1188.028482,0.554445876,330.6369192
K2-227 b,K2-227,1,1,Transit,2018.0,13.621832,0.0,,,1.66551298,,0.0,5673.0,0.890666,0.950811,187.234,,0.737175227,
K2-228 b,K2-228,1,1,Transit,2018.0,2.69828,0.007374726,0.0338,,1.21,,0.0,4715.0,0.65,0.71,129.46,996.9916106,0.187345537,163.9872002
K2-229 b,K2-229,1,2,Transit,2018.0,0.584216,0.001599496,,,1.0,,0.0,5315.0,0.79,,102.564,,0.446845211,
K2-229 c,K2-229,1,2,Transit,2018.0,8.32727,0.022862825,0.0769,,2.03,,0.0,5315.0,0.79,0.87,102.564,821.4197169,0.446845211,75.56217119
K2-230 b,K2-230,1,1,Transit,2018.0,2.86041,0.007850973,0.0409,,1.96,,0.0,5945.0,1.39,1.11,540.773,1671.125567,2.165343927,1294.435069
K2-231 b,K2-231,1,1,Transit,2018.0,13.841901,0.0,,,2.5,,0.0,5695.0,0.95,1.01,321.215,,0.85174967,
K2-232 b,K2-232,1,1,Transit,2018.0,11.168454,0.030575942,0.10356,0.258,11.209,126.49634,0.494913102,6154.0,1.161,1.188,130.72,993.5484714,1.734539751,161.7335702
K2-233 b,K2-233,1,3,Transit,2018.0,2.467583,0.006723169,0.03293,0.0,1.315,2.4,5.815480209,4796.0,0.71,0.79,67.5062,1073.801391,0.239289281,220.6682159
K2-233 c,K2-233,1,3,Transit,2018.0,7.06024,0.019250347,0.0664,0.0,1.272,4.6,12.31538793,4796.0,0.71,0.79,67.5062,756.1984585,0.239289281,54.27340715
K2-233 d,K2-233,1,3,Transit,2018.0,24.3681,0.066410272,0.1516,0.18,2.363,10.3,4.301279445,4796.0,0.71,0.79,67.5062,500.4609855,0.239289281,10.41177663
K2-237 b,K2-237,1,1,Transit,2018.0,2.18053332,0.005973304,0.03552,0.03,16.06246934,434.153604,0.577242201,6180.0,1.236,1.256,314.995,1757.813156,1.999312549,1584.655191
K2-238 b,K2-238,1,1,Transit,2018.0,3.20466,0.009044057,0.046,0.0,14.5717,273.3338,0.486759318,5630.0,1.59,1.19,537.963,1596.024375,2.278860171,1076.966054
K2-239 b,K2-239,1,3,Transit,2018.0,5.24,0.014642927,0.0441,,1.1,,0.0,3420.0,0.36,0.4,31.0849,471.1612229,0.015907403,8.179412235
K2-239 c,K2-239,1,3,Transit,2018.0,7.775,0.021857663,0.0576,,1.0,,0.0,3420.0,0.36,0.4,31.0849,412.26607,0.015907403,4.794621283
K2-239 d,K2-239,1,3,Transit,2018.0,10.115,0.028346919,0.0685,,1.1,,0.0,3420.0,0.36,0.4,31.0849,378.0450442,0.015907403,3.390143899
K2-24 b,K2-24,1,2,Transit,2016.0,20.88977,0.0,,0.06,5.4,19.0,0.664850378,5625.0,1.16,1.07,170.562,,1.20863714,
K2-24 c,K2-24,1,2,Transit,2016.0,42.3391,0.0,,0.07,7.5,15.4,0.201135407,5625.0,1.16,1.07,170.562,,1.20863714,
K2-240 b,K2-240,1,2,Transit,2018.0,6.034,0.015256751,0.0513,,2.0,,0.0,3810.0,0.54,0.58,72.9105,596.0389646,0.055128639,20.94799888
K2-240 c,K2-240,1,2,Transit,2018.0,20.523,0.051809709,0.1159,,1.8,,0.0,3810.0,0.54,0.58,72.9105,396.5442129,0.055128639,4.104028806
K2-241 b,K2-241,1,1,Transit,2018.0,26.8199,0.073616357,0.1567,,2.55,,0.0,5262.0,0.75,0.71,149.464,555.0836761,0.386915165,15.75715325
K2-242 b,K2-242,1,1,Transit,2018.0,6.51389,0.017811423,0.0494,,2.54,,0.0,3459.0,0.37,0.38,109.237,456.456534,0.017583104,7.205127134
K2-243 b,K2-243,1,2,Transit,2018.0,11.54182,0.03155364,0.1087,,2.17,,0.0,6570.0,1.39,1.29,266.864,1132.84235,3.229839405,273.3517386
K2-243 c,K2-243,1,2,Transit,2018.0,24.94598,0.068192645,0.1817,,2.01,,0.0,6570.0,1.39,1.29,266.864,876.2071336,3.229839405,97.82977937
K2-244 b,K2-244,1,1,Transit,2018.0,21.06884,0.057579133,0.1418,,1.75,,0.0,5677.0,0.92,0.86,212.902,697.2462242,0.788753104,39.22731834
K2-245 b,K2-245,1,1,Transit,2018.0,11.89307,0.032597843,0.0959,,4.34,,0.0,5793.0,1.25,0.83,456.064,1008.464721,1.57878863,171.6669834
K2-246 b,K2-246,1,1,Transit,2018.0,5.76918,0.015835621,0.0602,,3.49,,0.0,5610.0,0.94,0.87,703.616,1068.907246,0.785230214,216.6726124
K2-247 b,K2-247,1,2,Transit,2018.0,2.25021,0.006161614,0.0304,,2.12,,0.0,4667.0,0.69,0.74,258.113,1072.104288,0.20264656,219.2764885
K2-247 c,K2-247,1,2,Transit,2018.0,6.49424,0.017729513,0.0615,,2.19,,0.0,4667.0,0.69,0.74,258.113,753.7655194,0.20264656,53.5783091
K2-248 b,K2-248,1,1,Transit,2018.0,7.17256,0.019700372,0.0699,,2.57,,0.0,5528.0,0.92,0.88,406.254,967.018625,0.709149241,145.1387207
K2-249 b,K2-249,1,1,Transit,2018.0,12.409,0.033988032,0.1151,,2.79,,0.0,6504.0,1.57,1.32,521.716,1158.254978,3.957412171,298.7174807
K2-25 b,K2-25,1,1,Transit,2015.0,3.48456408,0.009473598,0.0287,0.428,3.44,24.5,3.316212527,3207.0,0.2932,0.2634,44.9565,494.2554572,0.008158562,9.904893908
K2-250 b,K2-250,1,1,Transit,2018.0,4.01392,0.010990353,0.04606,0.21,2.71257333,,0.0,5003.0,0.797,0.809,414.708,1003.48105,0.357049562,168.2986518
K2-251 b,K2-251,1,1,Transit,2018.0,9.30075,0.025353477,0.0694,,2.35,,0.0,3717.0,0.49,0.52,147.03,476.2361345,0.041119919,8.537551049
K2-252 b,K2-252,1,1,Transit,2018.0,13.81513,0.037788752,0.1041,,1.74,,0.0,5152.0,0.82,0.79,228.839,697.2184875,0.425031358,39.22107682
K2-253 b,K2-253,1,1,Transit,2018.0,4.00167,0.010952516,0.0506,,12.67,,0.0,6027.0,1.1,1.08,876.565,1354.982712,1.432451697,559.4727682
K2-254 b,K2-254,1,2,Transit,2018.0,4.09639,0.011253506,0.0448,,1.63,,0.0,4629.0,0.67,0.71,227.775,863.171423,0.184921828,92.13659332
K2-254 c,K2-254,1,2,Transit,2018.0,12.11839,0.033279238,0.0923,,2.19,,0.0,4629.0,0.67,0.71,227.775,601.3609319,0.184921828,21.70624879
K2-255 b,K2-255,1,1,Transit,2018.0,1.96417,0.005382657,0.0274,,2.9,,0.0,4676.0,0.69,0.71,191.608,1131.449683,0.204214249,272.0100284
K2-257 b,K2-257,1,1,Transit,2018.0,1.60588,0.004402293,0.0216,,0.83,,0.0,3725.0,0.5,0.52,64.0065,864.1634271,0.043185203,92.56087782
K2-258 b,K2-258,1,1,Transit,2018.0,19.0921,0.052286156,0.149,,3.0,,0.0,6351.0,1.31,1.21,661.873,908.0214439,2.504960559,112.8309787
K2-259 b,K2-259,1,1,Transit,2018.0,15.48043,0.042439074,0.1271,,2.32,,0.0,6059.0,1.13,1.14,416.457,871.1217908,1.544011558,95.57833172
K2-26 b,K2-26,1,1,Transit,2016.0,14.5665,0.039872053,0.0962,,2.67,,0.0,3785.0,0.52,0.56,99.0504,424.3180419,0.049792058,5.380342572
K2-260 b,K2-260,1,1,Transit,2018.0,2.62669762,0.007193979,0.04392,0.053,18.41635529,546.66486,0.482238303,6860.0,1.755,1.637,663.834,2090.946828,6.119846856,3172.604176
K2-261 b,K2-261,1,1,Transit,2018.0,11.6334681,0.034015035,0.1086,0.274,9.26982704,68.96876432,0.477077737,5490.0,1.663,1.107,213.283,1035.893326,2.254050938,191.119093
K2-263 b,K2-263,1,1,Transit,2018.0,50.818947,0.139129218,0.2573,0.15,2.41,14.9,5.865252854,5368.0,0.85,0.88,162.481,470.4500895,0.538242182,8.130142498
K2-264 b,K2-264,1,2,Transit,2018.0,5.840002,0.015984679,0.05023,,2.231,,0.0,3660.0,0.473,0.496,185.605,541.5537224,0.0360194,14.2761176
K2-264 c,K2-264,1,2,Transit,2018.0,19.660302,0.053814095,0.11283,,2.668,,0.0,3660.0,0.473,0.496,185.605,361.3356736,0.0360194,2.829354054
K2-265 b,K2-265,2,1,Transit,2018.0,2.36902,0.006485637,0.03359,0.16,1.70824866,7.3418362,8.115270934,5420.0,0.92,0.901,138.671,1367.727808,0.655333925,580.8214452
K2-266 b,K2-266,2,4,Transit,2018.0,0.658524,0.001801991,0.01306,,3.3,11.26782377,1.727626373,4285.0,0.703,0.686,77.5586,1515.892412,0.14948713,876.4304363
K2-266 c,K2-266,2,4,Transit,2018.0,7.814,0.021362034,0.0679,0.042,0.705,0.29013072,4.562238274,4285.0,0.703,0.686,77.5586,664.8215373,0.14948713,32.42382573
K2-266 d,K2-266,2,4,Transit,2018.0,14.697,0.040202075,0.1035,0.047,2.93,8.9,1.949569601,4285.0,0.703,0.686,77.5586,538.4802665,0.14948713,13.95478358
K2-266 e,K2-266,2,4,Transit,2018.0,19.482,0.053294403,0.1249,0.043,2.73,14.3,3.872573731,4285.0,0.703,0.686,77.5586,490.1835675,0.14948713,9.582502215
K2-268 b,K2-268,1,5,Transit,2018.0,2.151676,0.0,,,1.5,,0.0,5106.0,0.78,0.84,327.783,,0.371024251,
K2-268 c,K2-268,1,5,Transit,2018.0,9.327527,0.0,,,2.69,,0.0,5106.0,0.78,0.84,327.783,,0.371024251,
K2-268 d,K2-268,1,5,Transit,2021.0,4.528598,0.0,,,1.49,,0.0,5106.0,0.78,0.84,327.783,,0.371024251,
K2-268 e,K2-268,1,5,Transit,2021.0,6.131243,0.0,,,1.33,,0.0,5106.0,0.78,0.84,327.783,,0.371024251,
K2-268 f,K2-268,1,5,Transit,2021.0,26.27057,0.0,,,2.23,,0.0,5106.0,0.78,0.84,327.783,,0.371024251,
K2-269 b,K2-269,1,1,Transit,2018.0,4.144965,0.011360901,0.0531,,1.57,,0.0,6209.0,1.45,1.16,360.76,1564.479508,2.803577035,994.3137649
K2-27 b,K2-27,3,1,Transit,2016.0,6.771347,0.0,,,4.74,30.2,1.562512559,5246.0,0.876,0.88,249.645,,0.521448242,
K2-270 b,K2-270,1,2,Transit,2018.0,1.543069,0.004210522,0.0247,,1.38,,0.0,4877.0,0.77,0.85,280.518,1312.989098,0.300941667,493.2742173
K2-270 c,K2-270,1,2,Transit,2018.0,4.400028,0.012017804,0.0497,,2.95,,0.0,4877.0,0.77,0.85,280.518,925.6171707,0.300941667,121.8342924
K2-271 b,K2-271,1,1,Transit,2018.0,8.562421,0.023452926,0.077,,7.28,,0.0,5644.0,0.99,0.83,564.454,975.8222546,0.892294589,150.4966418
K2-272 b,K2-272,1,1,Transit,2018.0,14.4536756,0.03445839,0.1007,,3.13,,0.0,5397.0,0.83,0.86,423.065,747.1162931,0.524391577,51.71264669
K2-273 b,K2-273,1,1,Transit,2018.0,11.7195663,0.020863938,0.0729,,3.05,,0.0,5161.0,0.85,0.89,308.105,849.7497322,0.459899712,86.53824452
K2-274 b,K2-274,1,1,Transit,2018.0,14.1330314,0.033674566,0.0964,,2.08,,0.0,5044.0,0.7,0.79,228.327,655.3858485,0.284568118,30.62190281
K2-275 b,K2-275,1,2,Transit,2018.0,3.2809626,0.005253809,0.0277,,2.34,,0.0,4841.0,0.69,0.77,123.438,1165.014209,0.234600191,305.7516602
K2-275 c,K2-275,1,2,Transit,2018.0,8.4388385,0.029800153,0.0881,,2.21,,0.0,4841.0,0.69,0.77,123.438,653.2556166,0.234600191,30.22571236
K2-276 b,K2-276,1,1,Transit,2018.0,18.718269,0.051225055,0.1291,,3.77,,0.0,5139.0,0.85,0.82,488.152,635.8232989,0.452107979,27.12624548
K2-277 b,K2-277,1,1,Transit,2018.0,6.326768,0.017336948,0.0664,0.52,2.18575124,,0.0,5680.0,0.973,0.974,113.123,1048.412511,0.884115233,200.5269345
K2-278 b,K2-278,1,1,Transit,2018.0,3.334966,0.009110993,0.0488,,2.98,,0.0,6747.0,1.61,1.4,786.439,1868.63817,4.819305335,2023.693788
K2-279 b,K2-279,1,1,Transit,2018.0,7.122605,0.019511859,0.067,,1.21,,0.0,5558.0,0.86,0.79,182.983,960.1560999,0.633229184,141.0624157
