pl_name,sy_plx
G 9-40 b,35.7781
GJ 1002 b,206.213
GJ 1002 c,206.213
GJ 1061 b,272.245
GJ 1061 b,272.245
GJ 1061 c,272.245
GJ 1061 c,272.245
GJ 1061 d,272.245
GJ 1061 d,272.245
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 b,79.2543
GJ 1132 c,79.2543
GJ 1148 b,90.7623
GJ 1148 b,90.7623
GJ 1148 b,90.7623
GJ 1148 c,90.7623
GJ 1148 c,90.7623
GJ 1151 c,124.407
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1214 b,68.2653
GJ 1252 b,49.0558
GJ 1252 b,49.0558
GJ 1252 b,49.0558
GJ 1252 b,49.0558
GJ 1252 b,49.0558
GJ 1252 b,49.0558
GJ 1265 b,97.5087
GJ 1289 b,119.711
GJ 143 b,61.2455
GJ 143 b,61.2455
GJ 143 b,61.2455
GJ 15 A b,280.69
GJ 15 A b,280.69
GJ 15 A b,280.69
GJ 15 A c,280.69
GJ 160.2 b,38.6473
GJ 163 b,66.0714
GJ 163 c,66.0714
GJ 163 d,66.0714
GJ 179 b,80.9036
GJ 179 b,80.9036
GJ 179 b,80.9036
GJ 180 b,83.7182
GJ 180 b,83.7182
GJ 180 c,83.7182
GJ 180 d,83.7182
GJ 2030 b,26.9407
GJ 2030 c,26.9407
GJ 2056 b,35.1286
GJ 2126 b,26.1982
GJ 229 A c,173.696
GJ 229 A c,173.696
GJ 229 b,173.696
GJ 229 b,173.696
GJ 229 b,173.696
GJ 238 b,65.6992
GJ 238 b,65.6992
GJ 251 b,179.164
GJ 251 b,179.164
GJ 251 c,179.164
GJ 27.1 b,42.3328
GJ 273 b,263.26
GJ 273 c,263.26
GJ 3021 b,56.9319
GJ 3082 b,60.1445
GJ 3090 b,44.4649
GJ 3090 b,44.4649
GJ 3090 b,44.4649
GJ 3090 b,44.4649
GJ 3090 c,44.4649
GJ 3138 b,35.0943
GJ 3138 c,35.0943
GJ 3138 d,35.0943
GJ 317 b,65.7744
GJ 317 b,65.7744
GJ 317 b,65.7744
GJ 317 b,65.7744
