pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,sy_snum,P_ESI
Kepler-425 b,10.962,79.44999999999999,1070.0,0.04640000000000022,0.33,5170.0,1.0,0.084411371
Kepler-426 b,12.220000000000002,108.06,1300.0,0.041400000000000325,0.18,5725.0,1.0,0.074777868
Kepler-427 b,13.79,92.17000000000002,1100.0,0.09100000000000019,0.57,5800.0,1.0,0.068879189
Kepler-428 b,12.11,403.63,1070.0,0.04330000000000034,0.22,5150.0,1.0,0.077946742
Kepler-43 b,13.663771,1026.5909,1620.0,0.04600000000000026,0.017,6041.0,1.0,0.066769621
Kepler-430 b,3.25,10.600000000000023,667.0,0.22440000000000015,0.0,5884.0,1.0,0.22969887
Kepler-430 c,1.75,3.7099999999999795,458.0,0.4756999999999998,0.0,5884.0,1.0,0.40149108
Kepler-431 b,0.7640000000000002,0.37000000000000455,1032.0,0.0719000000000003,0.0,6004.0,1.0,0.28889131
Kepler-431 c,0.6680000000000001,0.228999999999985,951.0,0.08469999999999978,0.0,6004.0,1.0,0.28217616
Kepler-431 d,1.1100000000000003,1.410000000000025,856.0,0.10449999999999982,0.0,6004.0,1.0,0.29681558
Kepler-432 b,12.834305,1719.4603,812.0,0.30100000000000016,0.5134,4995.0,2.0,0.079252541
Kepler-432 c,13.3,772.3269,829.488,1.5544000000000002,0.498,4995.0,2.0,0.19279792
Kepler-433 b,16.25,896.24,1776.0,0.06789999999999985,0.119,6360.0,1.0,0.056827816
Kepler-434 b,12.67,908.96,1000.0,0.11430000000000007,0.131,5977.0,1.0,0.07673068
Kepler-435 b,22.31,266.97,1729.0,0.09480000000000022,0.114,6161.0,1.0,0.042630862
Kepler-436 b,2.73,7.899999999999977,322.0,0.3390000000000004,0.19,4651.0,1.0,0.61818164
Kepler-436 c,2.33,6.0400000000000205,503.0,0.11451999999999884,0.0,4685.0,1.0,0.32606939
Kepler-437 b,2.14,5.220000000000027,308.0,0.28799999999999937,0.020000000000000004,4551.0,1.0,0.64247814
Kepler-438 b,1.12,1.4599999999999795,288.0,0.16600000000000037,0.03,3748.0,1.0,0.83283844
Kepler-439 b,2.24,5.649999999999977,291.0,0.5629999999999997,0.03,5431.0,1.0,0.65872447
Kepler-44 b,12.220000000000002,317.82,1544.0,0.04459999999999997,0.066,5800.0,1.0,0.07351445
Kepler-440 b,1.8600000000000003,4.1200000000000045,229.0,0.242,0.34,4134.0,1.0,0.75260263
Kepler-441 b,1.6400000000000001,3.329999999999984,189.0,0.6399999999999997,0.1,4340.0,1.0,0.51489081
Kepler-442 b,1.3399999999999999,2.3600000000000136,241.0,0.4089999999999998,0.04,4402.0,1.0,0.83824202
Kepler-443 b,2.33,6.0400000000000205,233.0,0.4950000000000001,0.11,4723.0,1.0,0.71460424
Kepler-444 b,0.4029999999999996,0.037399999999990996,938.0,0.04178000000000015,0.16,5046.0,3.0,0.23747364
Kepler-444 c,0.4969999999999999,0.07929999999998927,868.0,0.048809999999999576,0.31,5046.0,3.0,0.26207019
Kepler-444 d,0.5300000000000002,0.19999999999998863,783.0,0.05999999999999961,0.18,5046.0,3.0,0.27289029
Kepler-444 e,0.5460000000000003,0.10000000000002274,727.0,0.06960000000000122,0.1,5046.0,3.0,0.2801979
Kepler-444 f,0.7409999999999997,0.33199999999999363,673.0,0.08110000000000017,0.29,5046.0,3.0,0.30814473
Kepler-445 b,1.58,3.1200000000000045,401.00000000000006,0.021700000000000053,0.0,3157.0,1.0,0.35223075
Kepler-445 c,2.51,6.850000000000023,341.0,0.030100000000000016,0.0,3157.0,1.0,0.36067567
Kepler-445 d,1.25,2.1000000000000227,305.0,0.04389999999999983,0.0,3157.0,1.0,0.56191507
Kepler-446 b,1.5,2.8600000000000136,648.0,0.018200000000001104,0.0,3359.0,1.0,0.35551275
Kepler-446 c,1.1100000000000003,1.410000000000025,520.0,0.02829999999999977,0.0,3359.0,1.0,0.46721082
Kepler-446 d,1.3500000000000005,2.3899999999999864,436.00000000000006,0.040300000000000225,0.0,3359.0,1.0,0.59474951
Kepler-447 b,18.49,435.41,882.0,0.07690000000000019,0.123,5493.0,1.0,0.059364434
Kepler-448 c,12.0,6992.26,1548.766,4.2,0.6500000000000001,6635.0,1.0,0.28140221
Kepler-449 b,2.056,4.8799999999999955,917.0,0.10269999999999957,0.03,5649.18,1.0,0.25895359
Kepler-449 c,2.764,8.069999999999993,661.0,0.19789999999999974,0.05,5649.18,1.0,0.24384785
Kepler-45 b,10.76,160.497,1000.0,0.03000000000000025,0.11,3820.0,1.0,0.099040202
Kepler-450 b,6.14,19.399999999999977,769.0,0.20092,0.020000000000000004,6197.21,1.0,0.14126641
Kepler-450 c,2.6200000000000006,12.5,944.0,0.13351000000000024,0.020000000000000004,6197.21,1.0,0.23159852
Kepler-450 d,0.8369999999999997,17.600000000000023,1199.0,0.0827,0.14,6197.21,1.0,0.29272919
Kepler-451 c,13.5,511.70373527,2545.0,1.1867199999999993,0.29,29564.0,2.0,0.18418114
Kepler-451 d,13.5,559.37799632,2545.0,1.1867199999999993,0.0,29564.0,2.0,0.067756094
Kepler-452 b,1.63,3.2900000000000205,265.0,1.0460000000000003,0.0,5757.0,1.0,0.8267185
Kepler-453 b,6.204,16.0,650.928,0.7903000000000002,0.0359,5527.0,2.0,0.48903034
Kepler-454 b,2.37,5.399999999999977,916.0,0.09527999999999981,0.32000000000000006,5687.0,2.0,0.24658368
Kepler-454 c,12.9,1433.40611557,1524.6,1.287,0.005299999999999999,5687.0,2.0,0.376318
Kepler-454 d,13.3,734.18362017,1420.4,5.1,0.089,5687.0,2.0,0.10931732
Kepler-457 d,2.98467257,9.189999999999998,1008.0,0.09959999999999969,0.0,6474.0,1.0,0.21629554
Kepler-458 c,4.2,16.399999999999977,798.0,0.17011999999999983,0.0,6117.21,1.0,0.17431837
Kepler-46 b,9.057,1907.0,543.0,0.19679999999999964,0.009999999999999995,5155.0,1.0,0.16385909
Kepler-46 c,13.5,119.499,455.0,0.2798999999999996,0.014599999999999995,5155.0,1.0,0.19063652
Kepler-46 d,1.6400000000000001,3.329999999999984,845.0,0.06699999999999928,0.0,5309.0,1.0,0.28697878
Kepler-460 c,5.52,26.100000000000023,389.0,0.7531800000000004,0.0,6146.0,1.0,0.25809777
