pl_name,star_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth received flux),sy_plx
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,44.3936,0.121543053,0.247,0.088,26.46364274,56.6,0.016827483,5198,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
